"project_key","branch","issue_key","rule","type","severity","status","resolution","message","component","file_path","line","effort","debt","author","assignee","tags","clean_code_attribute","security_impact","reliability_impact","maintainability_impact","creation_date","update_date","close_date"
"Tawuniya-CRM","DEV","0fe40295-15a4-4fd5-9624-1c5d7fd51116","javascript:S2189","BUG","BLOCKER","CLOSED","FIXED","'r' is not modified in this loop.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"15min","15min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","LOGICAL","","BLOCKER","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","02dfaa4c-5383-4675-9546-8bd646565b2c","css:S4670","BUG","CRITICAL","CLOSED","FIXED","Unexpected unknown type selector ""<style""","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Contact/vrp_UpdateContactDetails.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Contact/vrp_UpdateContactDetails.html",,"5min","5min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","LOGICAL","","HIGH","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","c2facefd-71ba-4a84-a61f-a5866325347c","javascript:S930","BUG","CRITICAL","CLOSED","FIXED","This function expects no arguments, but 1 was provided.","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/Scripts/Form/Contact/twn_IncidentFormCC.v2.js","Customer360/Vrp.CRM.C360.WebResources/vrp_/Scripts/Form/Contact/twn_IncidentFormCC.v2.js",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe","LOGICAL","","HIGH","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","fbefc91f-eb32-4702-ae24-e6d37eb4a9c1","css:S4656","BUG","MAJOR","CLOSED","FIXED","Unexpected duplicate ""filter""","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap-theme.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap-theme.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","LOGICAL","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","6acea6c9-0100-4c25-8eca-0d4d6c407e12","Web:S5254","BUG","MAJOR","CLOSED","FIXED","Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Views/Shared/Error.cshtml","CrmApi/Tawuniya.Crm.Api.Service/Views/Shared/Error.cshtml",,"2min","2min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","accessibility,wcag2-a","COMPLETE","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","86dd903a-4ee1-4f4d-9938-4963f8da7b35","css:S4656","BUG","MAJOR","CLOSED","FIXED","Unexpected duplicate ""border-color""","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap-theme.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap-theme.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","LOGICAL","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","1d031a16-14a5-4923-a14f-081f65803806","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","COMPLETE","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","33445bc4-cae6-4c13-896b-4b1935155679","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","COMPLETE","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","92855139-ee22-46c9-843c-d7c78daf48ec","css:S4656","BUG","MAJOR","CLOSED","FIXED","Unexpected duplicate ""-webkit-transition""","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","LOGICAL","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","f3040f8e-ce9e-47e0-9512-f902cb19609d","Web:S5254","BUG","MAJOR","CLOSED","FIXED","Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Views/Shared/_Layout.cshtml","CrmApi/Tawuniya.Crm.Api.Service/Views/Shared/_Layout.cshtml",,"2min","2min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","accessibility,wcag2-a","COMPLETE","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
